iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 29, 2019"
Total Net Assets,"1,677,384,384.60"
Shares Outstanding,"14,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.29","32.50","152,112.00","4,943,640.00","4,943,640.00","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.29","31.30","157,857.00","4,940,924.10","4,940,924.10","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.28","14.15","336,261.00","4,758,093.15","4,758,093.15","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.28","78.10","60,816.00","4,749,729.60","4,749,729.60","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.28","18.90","244,662.00","4,624,111.80","4,624,111.80","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.28","9.99","462,587.00","4,621,244.13","4,621,244.13","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.27","996.24","4,590.00","4,572,741.60","4,572,741.60","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.27","49.99","88,998.00","4,449,010.02","4,449,010.02","Financials","2983154","US87236Y1082","NASDAQ"
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.26","12.68","345,872.00","4,385,656.96","4,385,656.96","Financials","2445966","US4461501045","NASDAQ"
"L","LOEWS CORP","Equity","0.26","47.93","90,509.00","4,338,096.37","4,338,096.37","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.26","85.90","50,070.00","4,301,013.00","4,301,013.00","Financials","2196888","US1720621010","NASDAQ"
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.26","32.32","132,976.00","4,297,784.32","4,297,784.32","Financials","2740542","BMG0450A1053","NASDAQ"
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.26","50.19","85,521.00","4,292,298.99","4,292,298.99","Financials","2803014","US74251V1026","NASDAQ"
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.26","101.91","42,062.00","4,286,538.42","4,286,538.42","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"WPC","W. P. CAREY REIT INC","Equity","0.25","78.33","53,220.00","4,168,722.60","4,168,722.60","Real Estate","B826YT8","US92936U1097","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.25","45.46","91,060.00","4,139,587.60","4,139,587.60","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.25","109.33","37,631.00","4,114,197.23","4,114,197.23","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","0.24","58.70","67,496.00","3,962,015.20","3,962,015.20","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.23","222.36","17,392.00","3,867,285.12","3,867,285.12","Financials","2808053","US78486Q1013","NASDAQ"
"VNO","VORNADO REALTY TRUST REIT","Equity","0.23","67.44","57,285.00","3,863,300.40","3,863,300.40","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"CMA","COMERICA INC","Equity","0.23","73.32","52,535.00","3,851,866.20","3,851,866.20","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"ETFC","E TRADE FINANCIAL CORP","Equity","0.23","46.43","81,378.00","3,778,380.54","3,778,380.54","Financials","2299011","US2692464017","NASDAQ"
"REG","REGENCY CENTERS REIT CORP","Equity","0.22","67.49","55,344.00","3,735,166.56","3,735,166.56","Real Estate","2726177","US7588491032","NASDAQ"
"ALLY","ALLY FINANCIAL INC","Equity","0.22","27.49","133,025.00","3,656,857.25","3,656,857.25","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"DRE","DUKE REALTY REIT CORP","Equity","0.22","30.58","118,681.00","3,629,264.98","3,629,264.98","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.21","95.44","37,060.00","3,537,006.40","3,537,006.40","Financials","B5834C5","US12503M1080","Cboe BZX formerly known as BATS"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Equity","0.20","114.30","29,690.00","3,393,567.00","3,393,567.00","Real Estate","2563125","US29472R1086","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.20","137.85","24,560.00","3,385,596.00","3,385,596.00","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"SUI","SUN COMMUNITIES REIT INC","Equity","0.20","118.52","28,530.00","3,381,375.60","3,381,375.60","Real Estate","2860257","US8666741041","New York Stock Exchange Inc."
"RJF","RAYMOND JAMES INC","Equity","0.20","80.41","41,920.00","3,370,787.20","3,370,787.20","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"IRM","IRON MOUNTAIN INC","Equity","0.20","35.46","94,563.00","3,353,203.98","3,353,203.98","Real Estate","BVFTF03","US46284V1017","New York Stock Exchange Inc."
"NDAQ","NASDAQ INC","Equity","0.20","87.49","38,229.00","3,344,655.21","3,344,655.21","Financials","2965107","US6311031081","NASDAQ"
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.20","36.55","90,906.00","3,322,614.30","3,322,614.30","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"BEN","FRANKLIN RESOURCES INC","Equity","0.19","33.14","97,878.00","3,243,676.92","3,243,676.92","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.19","101.50","31,912.00","3,239,068.00","3,239,068.00","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.19","18.00","177,076.00","3,187,368.00","3,187,368.00","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.19","248.27","12,556.00","3,117,278.12","3,117,278.12","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.18","141.98","21,558.00","3,060,804.84","3,060,804.84","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.18","246.08","12,434.00","3,059,758.72","3,059,758.72","Financials","B03Q9D0","US57060D1081","NASDAQ"
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.18","55.39","53,321.00","2,953,450.19","2,953,450.19","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.17","612.40","4,772.00","2,922,372.80","2,922,372.80","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.17","215.96","13,427.00","2,899,694.92","2,899,694.92","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.17","84.72","33,082.00","2,802,707.04","2,802,707.04","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"ZION","ZIONS BANCORPORATION","Equity","0.17","45.41","61,448.00","2,790,353.68","2,790,353.68","Financials","2989828","US9897011071","NASDAQ"
"TMK","TORCHMARK CORP","Equity","0.16","81.95","33,472.00","2,743,030.40","2,743,030.40","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"VER","VEREIT INC","Equity","0.16","8.37","319,142.00","2,671,218.54","2,671,218.54","Real Estate","BYVVTJ1","US92339V1008","New York Stock Exchange Inc."
"VICI","VICI PPTYS INC","Equity","0.16","21.88","118,852.00","2,600,481.76","2,600,481.76","Real Estate","BYWH073","US9256521090","New York Stock Exchange Inc."
"KIM","KIMCO REALTY REIT CORP","Equity","0.15","18.50","139,026.00","2,571,981.00","2,571,981.00","Real Estate","2491594","US49446R1095","New York Stock Exchange Inc."
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.15","38.15","67,317.00","2,568,143.55","2,568,143.55","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"GLPI","GAMING AND LEISURE PROPERTIES REIT","Equity","0.15","38.57","66,508.00","2,565,213.56","2,565,213.56","Real Estate","BFPK4S5","US36467J1088","NASDAQ"
"KRC","KILROY REALTY REIT CORP","Equity","0.15","75.96","33,287.00","2,528,480.52","2,528,480.52","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.15","19.31","130,939.00","2,528,432.09","2,528,432.09","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"AIV","APARTMENT INVESTMENT AND MANAGEMEN","Equity","0.15","50.29","49,866.00","2,507,761.14","2,507,761.14","Real Estate","BJLNBG3","US03748R7540","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","0.15","49.96","49,786.00","2,487,308.56","2,487,308.56","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"SLG","SL GREEN REALTY REIT CORP","Equity","0.15","89.92","27,586.00","2,480,533.12","2,480,533.12","Real Estate","2096847","US78440X1019","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.14","33.83","70,911.00","2,398,919.13","2,398,919.13","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"INVH","INVITATION HOMES INC","Equity","0.14","24.33","98,012.00","2,384,631.96","2,384,631.96","Real Estate","BD81GW9","US46187W1071","New York Stock Exchange Inc."
