iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"2,253,097,627.19"
Shares Outstanding,"18,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"VTR","VENTAS REIT INC","Equity","0.32","48.32","153,441.00","7,414,269.12","7,414,269.12","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.32","15.70","465,971.00","7,315,744.70","7,315,744.70","Financials","2445966","US4461501045","NASDAQ"
"CMA","COMERICA INC","Equity","0.32","97.22","75,000.00","7,291,500.00","7,291,500.00","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.32","62.33","115,733.00","7,213,637.89","7,213,637.89","Financials","2803014","US74251V1026","NASDAQ"
"LNC","LINCOLN NATIONAL CORP","Equity","0.31","76.17","94,001.00","7,160,056.17","7,160,056.17","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.29","57.50","117,075.00","6,731,812.50","6,731,812.50","Financials","2983154","US87236Y1082","NASDAQ"
"MKL","MARKEL CORP","Equity","0.29","1,112.00","6,023.00","6,697,576.00","6,697,576.00","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"ESS","ESSEX PROPERTY TRUST REIT INC TRUS","Equity","0.28","223.83","28,496.00","6,378,259.68","6,378,259.68","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.28","92.80","67,894.00","6,300,563.20","6,300,563.20","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"ETFC","E TRADE FINANCIAL CORP","Equity","0.27","52.23","116,915.00","6,106,470.45","6,106,470.45","Financials","2299011","US2692464017","NASDAQ"
