iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 28, 2018"
Total Net Assets,"1,864,132,820.73"
Shares Outstanding,"15,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.36","123.09","54,289.00","6,682,433.01","6,682,433.01","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.35","27.92","234,264.00","6,540,650.88","6,540,650.88","Financials","2336747","US3167731005","NASDAQ"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.35","160.63","40,539.00","6,511,779.57","6,511,779.57","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.35","140.94","45,974.00","6,479,575.56","6,479,575.56","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.35","38.57","167,326.00","6,453,763.82","6,453,763.82","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.34","49.96","126,008.00","6,295,359.68","6,295,359.68","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.31","310.83","18,708.00","5,815,007.64","5,815,007.64","Financials","2808053","US78486Q1013","NASDAQ"
"MKL","MARKEL CORP","Equity","0.31","1,188.49","4,882.00","5,802,208.18","5,802,208.18","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.31","56.89","101,969.00","5,801,016.41","5,801,016.41","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.31","14.92","388,209.00","5,792,078.28","5,792,078.28","Financials","2445966","US4461501045","NASDAQ"
"ESS","ESSEX PROPERTY TRUST REIT INC TRUS","Equity","0.31","246.71","23,322.00","5,753,770.62","5,753,770.62","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"MSCI","MSCI INC","Equity","0.30","177.41","31,231.00","5,540,691.71","5,540,691.71","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.30","21.10","260,748.00","5,501,782.80","5,501,782.80","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.29","96.00","57,125.00","5,484,000.00","5,484,000.00","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"CMA","COMERICA INC","Equity","0.29","90.20","60,501.00","5,457,190.20","5,457,190.20","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.29","58.59","93,101.00","5,454,787.59","5,454,787.59","Financials","2803014","US74251V1026","NASDAQ"
"CSGP","COSTAR GROUP INC","Equity","0.29","420.84","12,850.00","5,407,794.00","5,407,794.00","Industrials","2262864","US22160N1090","NASDAQ"
"LNC","LINCOLN NATIONAL CORP","Equity","0.28","67.66","76,484.00","5,174,907.44","5,174,907.44","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.27","52.83","95,792.00","5,060,691.36","5,060,691.36","Financials","2983154","US87236Y1082","NASDAQ"
"L","LOEWS CORP","Equity","0.26","50.23","97,758.00","4,910,384.34","4,910,384.34","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"CBRE","CBRE GROUP INC CLASS A","Equity","0.26","44.10","111,099.00","4,899,465.90","4,899,465.90","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"ETFC","E TRADE FINANCIAL CORP","Equity","0.26","52.39","91,658.00","4,801,962.62","4,801,962.62","Financials","2299011","US2692464017","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","0.26","74.44","64,201.00","4,779,122.44","4,779,122.44","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.25","125.79","37,335.00","4,696,369.65","4,696,369.65","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
