iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 31, 2017"
Total Net Assets,"1,828,683,190.64"
Shares Outstanding,"16,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TROW","T ROWE PRICE GROUP INC","Equity","0.41","82.72","91,229.00","7,546,462.88","7,546,462.88","Financials","2702337","US74144T1088","NASDAQ"
"KEY","KEYCORP","Equity","0.41","18.04","415,301.00","7,492,030.04","7,492,030.04","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP TRUST","Equity","0.39","87.51","81,774.00","7,156,042.74","7,156,042.74","Financials","2648668","US6658591044","NASDAQ"
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.39","148.88","48,062.00","7,155,470.56","7,155,470.56","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.38","120.91","58,168.00","7,033,092.88","7,033,092.88","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.38","115.34","60,414.00","6,968,150.76","6,968,150.76","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.37","66.75","101,358.00","6,765,646.50","6,765,646.50","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.37","35.08","191,514.00","6,718,311.12","6,718,311.12","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.36","14.60","454,527.00","6,636,094.20","6,636,094.20","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"ESS","ESSEX PROPERTY TRUST REIT INC TRUS","Equity","0.35","261.70","24,803.00","6,490,945.10","6,490,945.10","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.35","137.55","45,879.00","6,310,656.45","6,310,656.45","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"LNC","LINCOLN NATIONAL CORP","Equity","0.34","73.06","84,838.00","6,198,264.28","6,198,264.28","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.32","57.06","103,298.00","5,894,183.88","5,894,183.88","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.32","100.33","58,364.00","5,855,660.12","5,855,660.12","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"BEN","FRANKLIN RESOURCES INC","Equity","0.32","44.78","129,530.00","5,800,353.40","5,800,353.40","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.31","1,071.51","5,293.00","5,671,502.43","5,671,502.43","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.31","31.65","177,266.00","5,610,468.90","5,610,468.90","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.30","13.25","411,288.00","5,449,566.00","5,449,566.00","Financials","2445966","US4461501045","NASDAQ"
"IVZ","INVESCO LTD","Equity","0.29","34.77","153,945.00","5,352,667.65","5,352,667.65","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.29","18.66","279,935.00","5,223,587.10","5,223,587.10","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"VNO","VORNADO REALTY TRUST REIT TRUST","Equity","0.28","79.35","65,177.00","5,171,794.95","5,171,794.95","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","0.28","48.68","104,507.00","5,087,400.76","5,087,400.76","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.28","48.86","102,958.00","5,030,527.88","5,030,527.88","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"GGP","GGP INC","Equity","0.27","22.61","220,430.00","4,983,922.30","4,983,922.30","Real Estate","BYMYV82","US36174X1019","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.27","12.03","407,764.00","4,905,400.92","4,905,400.92","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"CMA","COMERICA INC","Equity","0.26","72.31","66,973.00","4,842,817.63","4,842,817.63","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.26","97.26","49,198.00","4,784,997.48","4,784,997.48","Financials","2740542","BMG0450A1053","NASDAQ"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.24","103.53","42,996.00","4,451,375.88","4,451,375.88","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","0.24","44.40","98,896.00","4,390,982.40","4,390,982.40","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.24","50.13","86,447.00","4,333,588.11","4,333,588.11","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"CBG","CBRE GROUP INC CLASS A","Equity","0.24","37.99","113,878.00","4,326,225.22","4,326,225.22","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.24","76.16","56,765.00","4,323,222.40","4,323,222.40","Financials","2196888","US1720621010","NASDAQ"
"ETFC","E TRADE FINANCIAL CORP","Equity","0.23","41.00","104,062.00","4,266,542.00","4,266,542.00","Financials","2299011","US2692464017","NASDAQ"
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.23","45.73","92,021.00","4,208,120.33","4,208,120.33","Financials","2983154","US87236Y1082","NASDAQ"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.23","121.25","34,490.00","4,181,912.50","4,181,912.50","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
