iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"2,170,510,233.38"
Shares Outstanding,"17,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"RF","REGIONS FINANCIAL CORP","Equity","0.41","19.23","467,857.00","8,996,890.11","8,996,890.11","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"HCN","WELLTOWER INC","Equity","0.40","59.97","149,316.00","8,954,480.52","8,954,480.52","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.39","160.47","53,268.00","8,547,915.96","8,547,915.96","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.38","58.76","143,943.00","8,458,090.68","8,458,090.68","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.37","174.50","47,452.00","8,280,374.00","8,280,374.00","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"VTR","VENTAS REIT INC","Equity","0.36","55.97","143,686.00","8,042,105.42","8,042,105.42","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.35","123.71","62,274.00","7,703,916.54","7,703,916.54","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.33","67.60","108,356.00","7,324,865.60","7,324,865.60","Financials","2803014","US74251V1026","NASDAQ"
"LNC","LINCOLN NATIONAL CORP","Equity","0.33","82.80","88,274.00","7,309,087.20","7,309,087.20","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.32","16.18","436,261.00","7,058,702.98","7,058,702.98","Financials","2445966","US4461501045","NASDAQ"
"CMA","COMERICA INC","Equity","0.30","95.22","70,216.00","6,685,967.52","6,685,967.52","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.29","1,147.69","5,655.00","6,490,186.95","6,490,186.95","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"ESS","ESSEX PROPERTY TRUST REIT INC TRUS","Equity","0.28","232.98","26,677.00","6,215,207.46","6,215,207.46","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.28","20.76","298,877.00","6,204,686.52","6,204,686.52","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.28","134.39","45,827.00","6,158,690.53","6,158,690.53","Financials","B5834C5","US12503M1080","NASDAQ"
