iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 30, 2019"
Total Net Assets,"1,775,589,195.78"
Shares Outstanding,"14,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSCI","MSCI INC","Equity","0.35","225.38","26,392.00","5,948,228.96","5,948,228.96","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.35","52.31","112,503.00","5,885,031.93","5,885,031.93","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"ESS","ESSEX PROPERTY TRUST REIT INC","Equity","0.34","282.50","20,570.00","5,811,025.00","5,811,025.00","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"KEY","KEYCORP","Equity","0.34","17.55","328,580.00","5,766,579.00","5,766,579.00","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"CSGP","COSTAR GROUP INC","Equity","0.33","496.25","11,407.00","5,660,723.75","5,660,723.75","Industrials","2262864","US22160N1090","NASDAQ"
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.33","36.20","155,343.00","5,623,416.60","5,623,416.60","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.33","105.62","52,590.00","5,554,555.80","5,554,555.80","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.31","15.53","339,598.00","5,273,956.94","5,273,956.94","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"CBRE","CBRE GROUP INC CLASS A","Equity","0.30","52.07","98,171.00","5,111,763.97","5,111,763.97","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.30","142.39","35,283.00","5,023,946.37","5,023,946.37","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.28","13.92","346,764.00","4,826,954.88","4,826,954.88","Financials","2445966","US4461501045","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","0.28","83.62","57,606.00","4,817,013.72","4,817,013.72","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.28","1,071.51","4,350.00","4,661,068.50","4,661,068.50","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.27","57.16","81,006.00","4,630,302.96","4,630,302.96","Financials","2803014","US74251V1026","NASDAQ"
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.27","96.18","47,430.00","4,561,817.40","4,561,817.40","Financials","2196888","US1720621010","NASDAQ"
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.26","19.24","231,747.00","4,458,812.28","4,458,812.28","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.26","29.78","149,517.00","4,452,616.26","4,452,616.26","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
