iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 31, 2017"
Total Net Assets,"1,617,835,072.31"
Shares Outstanding,"15,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.25","42.61","96,771.00","4,123,412.31","4,123,412.31","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","0.25","43.69","94,288.00","4,119,442.72","4,119,442.72","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.25","101.94","40,390.00","4,117,356.60","4,117,356.60","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.24","254.65","15,293.00","3,894,362.45","3,894,362.45","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.23","70.08","53,335.00","3,737,716.80","3,737,716.80","Financials","2196888","US1720621010","NASDAQ"
"CBG","CBRE GROUP INC CLASS A","Equity","0.23","34.88","106,992.00","3,731,880.96","3,731,880.96","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.23","116.68","31,647.00","3,692,571.96","3,692,571.96","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.23","38.61","95,125.00","3,672,776.25","3,672,776.25","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.23","44.98","81,564.00","3,668,748.72","3,668,748.72","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"DRE","DUKE REALTY REIT CORP","Equity","0.22","28.67","126,449.00","3,625,292.83","3,625,292.83","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"SLG","SL GREEN REALTY REIT CORP","Equity","0.22","101.03","35,776.00","3,614,449.28","3,614,449.28","Real Estate","2096847","US78440X1019","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.22","56.73","63,559.00","3,605,702.07","3,605,702.07","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.21","77.47","44,797.00","3,470,423.59","3,470,423.59","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"ETFC","E TRADE FINANCIAL CORP","Equity","0.21","34.61","97,806.00","3,385,065.66","3,385,065.66","Financials","2299011","US2692464017","NASDAQ"
