iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 29, 2017"
Total Net Assets,"1,944,425,230.52"
Shares Outstanding,"16,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"RJF","RAYMOND JAMES INC","Equity","0.22","89.30","47,290.00","4,222,997.00","4,222,997.00","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.22","63.28","66,528.00","4,209,891.84","4,209,891.84","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.22","100.56","41,812.00","4,204,614.72","4,204,614.72","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"AMG","AFFILIATED MANAGERS GROUP INC","Equity","0.22","205.25","20,442.00","4,195,720.50","4,195,720.50","Financials","2127899","US0082521081","New York Stock Exchange Inc."
"MSCI","MSCI INC","Equity","0.22","126.54","33,136.00","4,193,029.44","4,193,029.44","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.21","74.97","54,936.00","4,118,551.92","4,118,551.92","Financials","2196888","US1720621010","NASDAQ"
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.21","87.45","46,332.00","4,051,733.40","4,051,733.40","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.20","39.24","100,392.00","3,939,382.08","3,939,382.08","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.20","38.52","98,443.00","3,792,024.36","3,792,024.36","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"REG","REGENCY CENTERS REIT CORP","Equity","0.19","69.18","54,435.00","3,765,813.30","3,765,813.30","Real Estate","2726177","US7588491032","New York Stock Exchange Inc."
"ZION","ZIONS BANCORPORATION","Equity","0.19","50.83","73,503.00","3,736,157.49","3,736,157.49","Financials","2989828","US9897011071","NASDAQ"
"IRM","IRON MOUNTAIN INC","Equity","0.19","37.73","98,220.00","3,705,840.60","3,705,840.60","Real Estate","BVFTF03","US46284V1017","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.19","155.93","23,694.00","3,694,605.42","3,694,605.42","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"SLG","SL GREEN REALTY REIT CORP","Equity","0.19","100.93","36,159.00","3,649,527.87","3,649,527.87","Real Estate","2096847","US78440X1019","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","0.18","90.71","39,508.00","3,583,770.68","3,583,770.68","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"DRE","DUKE REALTY REIT CORP","Equity","0.18","27.21","130,997.00","3,564,428.37","3,564,428.37","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
